,PLAYER_NAME,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,metadata_source
19,Willie Cauley-Stein,13.000000:44,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,2.0,0.0,0.0,0.0,1.0,4.0,3.0,2021-10-31 DAL vs. SAC
20,Reggie Bullock,21.000000:56,3.0,9.0,0.333,1.0,5.0,0.2,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,4.0,7.0,-6.0,2021-10-31 DAL vs. SAC
21,Frank Ntilikina,20.000000:43,4.0,6.0,0.667,2.0,2.0,1.0,2.0,2.0,1.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,12.0,1.0,2021-10-31 DAL vs. SAC
22,Sterling Brown,11.000000:46,1.0,5.0,0.2,1.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,4.0,2021-10-31 DAL vs. SAC
23,Moses Brown,1.000000:14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,-2.0,2021-10-31 DAL vs. SAC
12,Tim Hardaway Jr.,31.000000:06,5.0,15.0,0.333,4.0,13.0,0.308,3.0,4.0,0.75,0.0,3.0,3.0,3.0,0.0,1.0,0.0,3.0,17.0,-9.0,2021-11-02 DAL vs. MIA
13,Dorian Finney-Smith,30.000000:40,3.0,6.0,0.5,2.0,4.0,0.5,0.0,0.0,0.0,1.0,4.0,5.0,1.0,0.0,1.0,1.0,3.0,8.0,-12.0,2021-11-02 DAL vs. MIA
14,Dwight Powell,25.000000:00,2.0,3.0,0.667,0.0,0.0,0.0,2.0,5.0,0.4,2.0,6.0,8.0,2.0,1.0,1.0,0.0,5.0,6.0,-10.0,2021-11-02 DAL vs. MIA
15,Jalen Brunson,30.000000:36,10.0,13.0,0.769,2.0,2.0,1.0,3.0,5.0,0.6,1.0,6.0,7.0,3.0,0.0,0.0,3.0,1.0,25.0,-3.0,2021-11-02 DAL vs. MIA
16,Luka Doncic,35.000000:33,10.0,24.0,0.417,3.0,9.0,0.333,10.0,12.0,0.833,2.0,1.0,3.0,5.0,0.0,0.0,3.0,2.0,33.0,-13.0,2021-11-02 DAL vs. MIA
17,Willie Cauley-Stein,19.000000:06,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,-8.0,2021-11-02 DAL vs. MIA
18,Reggie Bullock,25.000000:20,3.0,7.0,0.429,3.0,7.0,0.429,1.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,10.0,-7.0,2021-11-02 DAL vs. MIA
19,Frank Ntilikina,18.000000:37,2.0,7.0,0.286,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,-6.0,2021-11-02 DAL vs. MIA
